KA3;Rua Guilherme Pugsley - Nº 1394 - CURITIBA;PR;M.PR.KA3;CURITIBA - ÁGUA VERDE 3;;;
KHL;Rua Valdívia - Nº 572 - CURITIBA;PR;M.PR.KHL;CURITIBA - HUGO LANGE;;;
KSO;R EMILIANO PERNETA - Nº 725 -  CENTRO;PR;M.PR.KSO;CURITIBA – ST. LOUIS BUSINESS CENTER;;;
KGR;RUA ITUPAVA - 72;PR;M.PR.KGR;CURITIBA  ALTO DA GLÓRIA 2;;;
KAN;AVENIDA PARANÁ -  1459 - BACACHERI;PR;M.PR.KAN;CURITIBA - AVENIDA PARANÁ;;;
KCL;RUA SAO PEDRO -  590 - CABRAL;PR;M.PR.KCL;CURITIBA - CIDADE INDUSTRIAL;;;
KVL;RUA DO VISCONDE RIO BRANCO - 1110;PR;M.PR.KVL;CURITIBA – VERA LUZ;;;
KSD;RUA MÁXIMO JOÃO KOPP - 601;PR;M.PR.KSD;CURITIBA - SANTA CANDIDA 3;;;
KAV;AVENIDA CORONEL DULCIDIO - 1596;PR;M.PR.KAV;CURITIBA - ÁGUA VERDE 2 (REM. K15);;;
KD2;RUA CORONEL DULCIDIO -  N° 625;PR;M.PR.KD2;CURITIBA - DOM PEDRO II;;;
KTO;ALAMEDA AUGUSTO STELLFELD - 1539;PR;M.PR.KTO;CURITIBA – TORRE DI BOLOGNA;;;
KPL;RUA JOÃO GAVA N° 970 - CURITIBA;PR;M.PR.KPL;CURITIBA - PEDREIRA PAULO LEMINSKI;;;
KBN;AVENIDA ANITA GARIBALDI - 5084;PR;M.PR.KBN;CURITIBA - BARREIRINHA;;;
PV2;Rua Iapó - 1408;PR;M.PR.PV2;CURITIBA - PRADO VELHO GVT;;;
1KL;RUA DOUTOR CLAUDINO DOS SANTOS - 63;PR;M.PR.1KL;CURITIBA - LARGO DA ORDEM SMALL CELL 1;;;
